name	paper	last	bid	offer	change	open	low	high	prev_price	volume	bid_depth_total	offer_depth_total
ABG Sundal Collier Holding	ASC	0	5.85	5.85	0	0	0	0	5.9	0	196669	246745
AF Gruppen	AFG	0	129.5	132.	0	0	0	0	132	0	3380	9939
AKVA Group	AKVA	0	70.	70.	0	0	0	0	70	0	2278	83020
Akastor	AKA	0	16.7	16.7	0	0	0	0	16.7	0	10522	52053
Aker	AKER	0	399.	399.	0	0	0	0	399	0	12547	3745
Aker BP	AKERBP	0	200.5	201.	0	0	0	0	200.4	320000	13662	25156
Aker Solutions	AKSO	0	46.	46.	0	0	0	0	45.98	525000	43946	70092
American Shipping Company	AMSC	0	23.6	24.	0	0	0	0	24	0	50343	78840
Apptix	APP	0	0.94	0.94	0	0	0	0	0.94	0	92519	119451
Aqualis	AQUA	0	3.9	4.	0	0	0	0	3.92	0	31006	79743
Archer	ARCHER	0	9.3	9.3	0	0	0	0	9.3	0	112042	173959
Arcus	ARCUS	0	45.6	45.6	0	0	0	0	45.7	0	10860	31552
Arendals Fossekompani	AFK	0	3190.	3200.	0	0	0	0	3200	0	88	39
Asetek	ASETEK	0	93.75	93.75	0	0	0	0	93	0	23319	11638
Atea	ATEA	0	116.	116.	0	0	0	0	116	0	24224	22087
Atlantic Petroleum	ATLA-NOK	0	9.3	10.85	0	0	0	0	9.49	0	9460	3357
Aurskog Sparebank	AURG	0	175.	190.	0	0	0	0	176	0	3258	146
Austevoll Seafood	AUSS	0	65.	65.	0	0	0	0	65.5	0	24734	73626
Avance Gas Holding	AVANCE	0	23.	23.	0	0	0	0	22.9	0	356104	296699
Avocet Mining	AVM	0	2.1	2.2	0	0	0	0	1.95	0	68368	99809
Axactor	AXA	0	2.87	2.87	0	0	0	0	2.87	0	1237714	1996182
B2Holding	B2H	0	20.8	20.8	0	0	0	0	21.1	0	51600	72567
BW LPG	BWLPG	0	36.9	36.9	0	0	0	0	36.99	0	53415	145442
BW Offshore Limited	BWO	0	33.7	33.7	0	0	0	0	33.8	0	81504	77955
Bakkafrost	BAKKA	0	330.	330.	0	0	0	0	329.9	2000	12283	11739
Belships	BEL	0	4.77	4.84	0	0	0	0	4.79	0	31300	110251
BerGenBio	BGBIO	0	21.2	21.2	0	0	0	0	21.1	0	29739	64829
Bergen Group	BERGEN	0	1.85	1.9	0	0	0	0	1.91	0	80670	448401
Biotec Pharmacon	BIOTEC	0	6.91	7.1	0	0	0	0	6.95	0	23057	60426
Bonheur	BON	0	87.	87.75	0	0	0	0	86.5	0	10156	25646
Borgestad	BOR	0	51.5	53.5	0	0	0	0	52.75	0	5550	15913
Borr Drilling	BDRILL	0	33.3	33.3	0	0	0	0	33.5	0	53890	50692
Borregaard	BRG	0	77.5	77.5	0	0	0	0	78	0	32541	65652
Bouvet	BOUVET	0	197.	198.	0	0	0	0	196	0	2363	2138
